restaurant_id,name,location,rating,total_ratings,price_for_2,cusines
354531,Burger Seigneur,Sobha Mall,4.4,1000,1200,American
354531,Burger Seigneur,Sobha Mall,4.4,1000,1200,Continental
428,Biryani Pot,BTM Layout,3.9,10000,500,North Indian
428,Biryani Pot,BTM Layout,3.9,10000,500,Biryani
5938,Burger King,Shivaji Nagar,4.1,10000,350,Burgers
5938,Burger King,Shivaji Nagar,4.1,10000,350,American
312849,Chopstick,R.T. Nagar,4.0,1000,350,Chinese
312849,Chopstick,R.T. Nagar,4.0,1000,350,Thai
30531,Hotel Empire,Hotel Empire International,4.2,10000,450,North Indian
30531,Hotel Empire,Hotel Empire International,4.2,10000,450,Kebabs
354884,Chinese Panda,Jeevan Bima Nagar,4.1,1000,350,Chinese
354884,Chinese Panda,Jeevan Bima Nagar,4.1,1000,350,Thai
62647,Pizza Hut,Mg Road,3.9,1000,500,Pizzas
94703,Sri Punjabi Dhaba,BTM Layout,3.1,10000,300,North Indian
94703,Sri Punjabi Dhaba,BTM Layout,3.1,10000,300,Biryani
345726,CHINESE KITCHEN,Ejipura,4.0,1000,300,Chinese
345726,CHINESE KITCHEN,Ejipura,4.0,1000,300,Indian
215852,Third Wave Coffee,Indiranagar,4.4,1000,400,Beverages
215852,Third Wave Coffee,Indiranagar,4.4,1000,400,Bakery
210945,Royal Restaurant,Shivaji Nagar,3.9,5000,300,Chinese
210945,Royal Restaurant,Shivaji Nagar,3.9,5000,300,North Indian
391270,Chinese Wok,Kalyan Nagar,3.8,1000,250,Chinese
391270,Chinese Wok,Kalyan Nagar,3.8,1000,250,Asian
526859,Aubree,Sanjay Nagar,4.3,1000,700,Desserts
526859,Aubree,Sanjay Nagar,4.3,1000,700,Bakery
354939,Shanghai House,Indiranagar,3.9,1000,400,Chinese
354939,Shanghai House,Indiranagar,3.9,1000,400,Thai
3241,Meghana Foods,Ashok Nagar,4.5,10000,500,Biryani
3241,Meghana Foods,Ashok Nagar,4.5,10000,500,Andhra
482672,La Pino'z Pizza,Indiranagar,3.8,1000,500,Pizzas
482672,La Pino'z Pizza,Indiranagar,3.8,1000,500,Pastas
490568,NOTO - Healthy Ice Cream,Indiranagar,4.4,500,250,Desserts
490568,NOTO - Healthy Ice Cream,Indiranagar,4.4,500,250,Ice Cream
688356,Go Zero - Guilt Free Ice Creams,Koramangala,4.0,4,150,Ice Cream
688356,Go Zero - Guilt Free Ice Creams,Koramangala,4.0,4,150,Desserts
196047,New Taj Darbar,Shivaji Nagar,3.5,5000,300,Biryani
196047,New Taj Darbar,Shivaji Nagar,3.5,5000,300,Indian
335220,IFC,Kalyan Nagar,4.1,1000,250,Burgers
334501,Le MoMo,Sahakara Nagar,3.8,1000,150,Chinese
71042,NEW Mahesh friends food center,BTM Layout,3.2,5000,200,Chinese
71042,NEW Mahesh friends food center,BTM Layout,3.2,5000,200,North Indian
43836,McDonald's,Ashok Nagar,4.2,10000,400,Burgers
43836,McDonald's,Ashok Nagar,4.2,10000,400,Beverages
48581,Rotti Walla,Indiranagar,4.0,10000,200,North Indian
48581,Rotti Walla,Indiranagar,4.0,10000,200,Chinese
347868,KFC,Vasanth Nagar,3.6,1000,400,Burgers
347868,KFC,Vasanth Nagar,3.6,1000,400,Biryani
607314,Namaste,Vijayanagar,4.1,1000,100,South Indian
607314,Namaste,Vijayanagar,4.1,1000,100,Thalis
203015,Shapana dhaba,BTM Layout,3.4,1000,150,Chinese
203015,Shapana dhaba,BTM Layout,3.4,1000,150,North Indian
580691,Rollsking,Koramangala,4.1,1000,300,North Indian
580691,Rollsking,Koramangala,4.1,1000,300,Fast Food
252618,Al-Bek,Rajajinagar,4.0,5000,500,Arabian
252618,Al-Bek,Rajajinagar,4.0,5000,500,Tandoor
34269,Hamza hotel,Shivaji Nagar,4.2,10000,300,Continental
34269,Hamza hotel,Shivaji Nagar,4.2,10000,300,Street Food
32603,Leon's - Burgers & Wings (Leon Grill),Indiranagar,4.3,10000,300,American
32603,Leon's - Burgers & Wings (Leon Grill),Indiranagar,4.3,10000,300,Snacks
279735,Easy Bites by Hotel Empire,Ashok Nagar,4.1,1000,150,Snacks
279735,Easy Bites by Hotel Empire,Ashok Nagar,4.1,1000,150,Fast Food
571337,Sri Ram Bhojanalay,Indiranagar,3.8,100,5,North Indian
571337,Sri Ram Bhojanalay,Indiranagar,3.8,100,5,Bengali
63957,Madeena Hotel,Koramangala,4.1,10000,250,Biryani
63957,Madeena Hotel,Koramangala,4.1,10000,250,Mughlai
485771,Sree Banashankari Donne Biryani,Basaveshwara Nagar,3.7,500,250,Biryani
485771,Sree Banashankari Donne Biryani,Basaveshwara Nagar,3.7,500,250,South Indian
352906,Chicking,New BEL Road,4.0,1000,400,Fast Food
352906,Chicking,New BEL Road,4.0,1000,400,American
374455,Kwality Walls Frozen Dessert and Ice Cream Shop,BTM Layout,4.7,1000,300,Desserts
374455,Kwality Walls Frozen Dessert and Ice Cream Shop,BTM Layout,4.7,1000,300,Ice Cream
224868,Ambur Dum Biriyani,Indiranagar,3.8,1000,300,Indian
224868,Ambur Dum Biriyani,Indiranagar,3.8,1000,300,Mughlai
170539,Donne Biryani Adda,Indiranagar,3.2,500,200,Biryani
170539,Donne Biryani Adda,Indiranagar,3.2,500,200,South Indian
546402,Biriyani @99,Kalyan Nagar,3.0,100,200,Indian
546402,Biriyani @99,Kalyan Nagar,3.0,100,200,Biryani
382447,Royal Donne Biryani,HBR Layout,3.4,1000,400,Biryani
382447,Royal Donne Biryani,HBR Layout,3.4,1000,400,Chinese
336822,Onesta,Koramangala,3.9,500,200,Italian
336822,Onesta,Koramangala,3.9,500,200,Desserts
132622,Marwadi Chaat & Tiffin Services Shanti nagar,Shanti Nagar,3.7,5000,300,Rajasthani
132622,Marwadi Chaat & Tiffin Services Shanti nagar,Shanti Nagar,3.7,5000,300,North Indian
8244,Polar Bear Ice Cream Sundaes,Koramangala,4.4,10000,200,Ice Cream
8244,Polar Bear Ice Cream Sundaes,Koramangala,4.4,10000,200,Desserts
312846,Chinese BAE,R.T. Nagar,3.9,5000,400,Chinese
312846,Chinese BAE,R.T. Nagar,3.9,5000,400,Thai
449276,Wendy's Burgers,Basaveshwara Nagar,3.9,1000,200,Fast Food
449276,Wendy's Burgers,Basaveshwara Nagar,3.9,1000,200,Snacks
570178,Om Sai Ram Food Junction,Indiranagar,3.8,100,5,North Indian
570178,Om Sai Ram Food Junction,Indiranagar,3.8,100,5,Bengali
402919,Maharaja Military Canteen - Donne Biryani,R.T. Nagar,4.0,500,300,Biryani
402919,Maharaja Military Canteen - Donne Biryani,R.T. Nagar,4.0,500,300,South Indian
576839,Om meals and paratha junction,Domlur,4.0,100,5,North Indian
